run_id,scenario,mode,seed,noise_std,risk_threshold,risk_threshold_low,cooldown_steps,reliability,delay_steps,violation_rate,collision_rate,near_miss_rate,intervention_rate,override_success_rate,mean_intervention_delay,operator_workload,mean_drift,p95_drift,mean_latency_ms,risk_mean,risk_p95,separation_risk_mean,congestion_risk_mean,speed_risk_mean,uncertainty_risk_mean,human_activation_count,cooldown_skips,trigger_active_rate,confidence_mean,false_intervention_rate
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed59,bottleneck,adaptive_hitl,59,0.1,0.3,0.15,0,0.95,0,0.013333333333333334,0.0,0.03333333333333333,1.0,0.9866666666666667,0.0,1.0,10.991900593603981,33.118525264484894,0.26169387361733243,0.278478067601571,0.48574584603973203,0.06095328786463926,0.04014669182725703,0.966749434037794,0.64,150,0,1.0,0.9500000000000002,0.4
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed1059,bottleneck,adaptive_hitl,1059,0.1,0.3,0.15,0,0.95,0,0.07333333333333333,0.0,0.2733333333333333,1.0,0.9266666666666666,0.0,1.0,14.977272369192118,32.266244031192294,0.43026413419283926,0.35916903116822646,0.7590170076740089,0.18002897288600167,0.1376491352145014,0.9854521167810587,0.6395059469916106,150,0,1.0,0.9500000000000002,0.18
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed2059,bottleneck,adaptive_hitl,2059,0.1,0.3,0.15,0,0.95,0,0.02,0.006666666666666667,0.26,1.0,0.98,0.0,1.0,6.039519872908316,22.32058867102063,0.27195389275827136,0.4562845284625784,0.6254996927315061,0.4408718887353313,0.2507904575875918,0.6685980525599183,0.632699041671957,150,0,1.0,0.9500000000000002,0.29333333333333333
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed3059,bottleneck,adaptive_hitl,3059,0.1,0.3,0.15,0,0.95,0,0.06666666666666667,0.0,0.18666666666666668,1.0,0.9333333333333333,0.0,1.0,15.374789975700303,37.5655252150649,0.3515382873592898,0.3823796836611037,0.6647412400312517,0.270032503564859,0.17706763453843558,0.8084964912859882,0.6354911648627334,150,0,1.0,0.9500000000000002,0.2733333333333333
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed4059,bottleneck,adaptive_hitl,4059,0.1,0.3,0.15,0,0.95,0,0.09333333333333334,0.0,0.42,1.0,0.9066666666666666,0.0,1.0,10.396567505587301,28.420666395553045,0.37273862030512345,0.5794350380643333,0.6574903114679111,0.5708356238389214,0.32229329395303885,0.9765438402594325,0.636694052064295,150,0,1.0,0.9500000000000002,0.23333333333333334
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed5059,bottleneck,adaptive_hitl,5059,0.1,0.3,0.15,0,0.95,0,0.09333333333333334,0.013333333333333334,0.16666666666666666,1.0,0.9066666666666666,0.0,1.0,11.607504415245215,38.95154351100988,0.37685661955038086,0.3239221519646861,0.6519466664396257,0.15039375097778573,0.09717546046964338,0.9162072201060998,0.6301334392757115,150,0,1.0,0.9500000000000002,0.21333333333333335
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed6059,bottleneck,adaptive_hitl,6059,0.1,0.3,0.15,0,0.95,0,0.04,0.0,1.0533333333333332,1.0,0.96,0.0,1.0,6.454655449398723,35.81729384032699,0.33543333983592066,0.618415731022284,0.712257458276357,0.6807453442732375,0.42753750532749146,0.738077426889214,0.6298955715604809,150,0,1.0,0.9500000000000002,0.22
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed7059,bottleneck,adaptive_hitl,7059,0.1,0.3,0.15,0,0.95,0,0.09333333333333334,0.0,0.02666666666666667,1.0,0.9066666666666666,0.0,1.0,13.5212983202753,30.376838146931888,0.3633416732191108,0.26117425463364585,0.3635811859119632,0.028178683656744034,0.023518274566095634,0.9774285223105804,0.64,150,0,1.0,0.9500000000000002,0.29333333333333333
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed8059,bottleneck,adaptive_hitl,8059,0.1,0.3,0.15,0,0.95,0,0.06666666666666667,0.0,0.006666666666666667,1.0,0.9333333333333333,0.0,1.0,16.692562467783407,32.2868848389736,0.35661222665415454,0.26273845466919565,0.40317130515167454,0.0334483780593207,0.020334717626202002,0.9773533675730057,0.64,150,0,1.0,0.9500000000000002,0.21333333333333335
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed9059,bottleneck,adaptive_hitl,9059,0.1,0.3,0.15,0,0.95,0,0.02666666666666667,0.006666666666666667,0.9,1.0,0.9733333333333334,0.0,1.0,13.294592514155685,37.3149054963116,0.3051588991850925,0.5337588817083703,0.7519515086058108,0.5196338194887963,0.33656922059447375,0.7985423852652894,0.64,150,0,1.0,0.9500000000000002,0.14
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool0_rel0.95_delay0_seed10059,bottleneck,adaptive_hitl,10059,0.1,0.3,0.15,0,0.95,0,0.06,0.0,0.0,1.0,0.94,0.0,1.0,15.316073902984519,32.06957176629538,0.31269585956276086,0.2746459302307148,0.4959653214146337,0.04984025559635903,0.030610099867204626,0.9904352683036806,0.64,150,0,1.0,0.9500000000000002,0.29333333333333333
