run_id,scenario,mode,seed,noise_std,risk_threshold,risk_threshold_low,cooldown_steps,reliability,delay_steps,violation_rate,collision_rate,near_miss_rate,intervention_rate,override_success_rate,mean_intervention_delay,operator_workload,mean_drift,p95_drift,mean_latency_ms,risk_mean,risk_p95,separation_risk_mean,congestion_risk_mean,speed_risk_mean,uncertainty_risk_mean,human_activation_count,cooldown_skips,trigger_active_rate,confidence_mean,false_intervention_rate
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed59,bottleneck,adaptive_hitl,59,0.1,0.3,0.15,5,0.95,10,0.13333333333333333,0.0,0.02666666666666667,0.16666666666666666,0.6,10.0,0.16666666666666666,10.687865912439069,31.44132285880376,0.5972983729831564,0.28873097181809804,0.48861360445383395,0.07870090374877182,0.049580006443348194,0.9661370901354246,0.64,25,125,1.0,0.8130947531791306,0.4
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed1059,bottleneck,adaptive_hitl,1059,0.1,0.3,0.15,5,0.95,10,0.2,0.0,0.26,0.16666666666666666,0.32,10.0,0.16666666666666666,15.041696156992487,32.78094278957515,0.8374777926170888,0.3563830247925359,0.7595434906565124,0.17431374405274905,0.13620937342751083,0.9864240304211972,0.6395059469916106,25,125,1.0,0.8130947531791306,0.16
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed2059,bottleneck,adaptive_hitl,2059,0.1,0.3,0.15,5,0.95,10,0.16666666666666666,0.013333333333333334,0.23333333333333334,0.16666666666666666,0.4,10.0,0.16666666666666666,6.109060112453203,22.37326881442102,0.5922372259859306,0.4485233887772631,0.6290369193380301,0.4274885854601533,0.24298003286356093,0.6693434162140707,0.6333800311479554,25,125,1.0,0.8130947531791306,0.28
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed3059,bottleneck,adaptive_hitl,3059,0.1,0.3,0.15,5,0.95,10,0.15333333333333332,0.0,0.16666666666666666,0.16666666666666666,0.48,10.0,0.16666666666666666,15.338534035893456,37.45078034076857,0.6034730866667815,0.38556379713263345,0.692856613577135,0.2728924184032465,0.18010732087410625,0.8157823983254547,0.6357867925588517,25,125,1.0,0.8130947531791306,0.24
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed4059,bottleneck,adaptive_hitl,4059,0.1,0.3,0.15,5,0.95,10,0.22666666666666666,0.006666666666666667,0.22666666666666666,0.16666666666666666,0.28,10.0,0.16666666666666666,10.402631417911806,28.176352576115235,0.7938994336291216,0.557177261139185,0.6666106329182705,0.5331934903510848,0.3024272989989943,0.9752570979600459,0.6356320069162759,25,125,1.0,0.8130947531791306,0.2
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed5059,bottleneck,adaptive_hitl,5059,0.1,0.3,0.15,5,0.95,10,0.17333333333333334,0.013333333333333334,0.19333333333333333,0.16666666666666666,0.36,10.0,0.16666666666666666,11.351630806978477,37.97537022583548,0.6420194598225256,0.33070617209462816,0.6499033446119157,0.1640654844408597,0.103654035599387,0.9091293109248749,0.630625323717755,25,125,1.0,0.8130947531791306,0.2
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed6059,bottleneck,adaptive_hitl,6059,0.1,0.3,0.15,5,0.95,10,0.21333333333333335,0.006666666666666667,0.8733333333333333,0.16666666666666666,0.28,10.0,0.16666666666666666,6.763630832557631,36.006185928833084,0.7097355532459915,0.6119947606769685,0.6987744663173817,0.6678226411720445,0.40771434854230343,0.7621650904937689,0.6348081429327146,25,125,1.0,0.8130947531791306,0.2
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed7059,bottleneck,adaptive_hitl,7059,0.1,0.3,0.15,5,0.95,10,0.2,0.0,0.02,0.16666666666666666,0.36,10.0,0.16666666666666666,13.258410341832743,30.11520748643906,0.6807861131771157,0.25954250947055224,0.32877492634034294,0.02642129532248319,0.023209587752015145,0.9723368642495405,0.64,25,125,1.0,0.8130947531791306,0.28
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed8059,bottleneck,adaptive_hitl,8059,0.1,0.3,0.15,5,0.95,10,0.24,0.0,0.0,0.16666666666666666,0.24,10.0,0.16666666666666666,16.589798041384316,31.018663382614857,0.7597533061440723,0.26578996571728275,0.4074006148166803,0.038703093741008124,0.02254754482052402,0.9782445821913204,0.64,25,125,1.0,0.8130947531791306,0.24
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.3_low0.15_cool5_rel0.95_delay10_seed9059,bottleneck,adaptive_hitl,9059,0.1,0.3,0.15,5,0.95,10,0.17333333333333334,0.013333333333333334,0.3,0.16666666666666666,0.32,10.0,0.16666666666666666,13.7769851424287,28.87807626403093,0.6930358734098263,0.3184152346384261,0.7680423374628865,0.12533215443187665,0.10326012487044728,0.934671559509799,0.64,25,125,1.0,0.8130947531791306,0.12
