run_id,scenario,mode,seed,noise_std,risk_threshold,risk_threshold_low,cooldown_steps,reliability,delay_steps,risk_weights,risk_lookahead_steps,safe_speed_ratio,critical_sep_factor,trend_release_delta,violation_rate,collision_rate,near_miss_rate,intervention_rate,override_success_rate,mean_intervention_delay,operator_workload,mean_drift,p95_drift,mean_latency_ms,risk_mean,risk_p05,risk_p25,risk_p50,risk_p75,risk_p95,separation_risk_mean,congestion_risk_mean,speed_risk_mean,uncertainty_risk_mean,human_activation_count,cooldown_skips,suppressed_request_count,suppressed_critical_count,cooldown_release_count,critical_override_count,critical_trigger_rate,trigger_active_rate,confidence_mean,false_intervention_rate,repeated_intervention_rate,post_intervention_violation_rate,mean_drift_after_intervention,min_predicted_distance_mean
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed59,boundary_stress,adaptive_hitl,59,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.09333333333333334,0.0,0.41333333333333333,0.96,0.9027777777777778,0.0,0.96,14.128115285051381,27.49586426923142,0.6259304983541369,0.9698399999999983,1.0,1.0,1.0,1.0,1.0,0.37063948885271886,0.2028207245953112,0.9966245362665692,0.64,144,0,0,0,144,144,0.96,0.96,0.9500000000000002,0.013888888888888888,0.9930555555555556,0.0979020979020979,14.03802709976086,4.871211978696343
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed1059,boundary_stress,adaptive_hitl,1059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.06666666666666667,0.0,0.0,0.9666666666666667,0.9310344827586207,0.0,0.9666666666666667,20.773449738000803,36.051579857019085,0.4550144324700038,0.9748666666666657,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999997348,0.64,145,0,0,0,145,145,0.9666666666666667,0.9666666666666667,0.9500000000000002,0.013793103448275862,0.993103448275862,0.06944444444444445,20.662310137955718,7.6295625149966435
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed2059,boundary_stress,adaptive_hitl,2059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.08,0.0,0.0,0.9533333333333334,0.916083916083916,0.0,0.9533333333333334,5.638043704074123,22.782990333362175,0.4268777649849653,0.9648133333333302,1.0,1.0,1.0,1.0,1.0,0.08113849007731497,0.0336391746008724,0.6928190405847445,0.64,143,0,0,0,143,143,0.9533333333333334,0.9533333333333334,0.9500000000000002,0.013986013986013986,0.993006993006993,0.08450704225352113,5.329392261821044,5.192298661013451
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed3059,boundary_stress,adaptive_hitl,3059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.02666666666666667,0.0,0.0,0.9533333333333334,0.972027972027972,0.0,0.9533333333333334,19.11762806248944,35.15710943398037,0.3907474937538306,0.9648133333333307,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.861403291136214,0.64,143,0,0,0,143,143,0.9533333333333334,0.9533333333333334,0.9500000000000002,0.013986013986013986,0.993006993006993,0.028169014084507043,19.11279679171213,13.452435954416957
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed4059,boundary_stress,adaptive_hitl,4059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.02666666666666667,0.0,0.14,0.9533333333333334,0.972027972027972,0.0,0.9533333333333334,17.736151518770097,44.91047175757,0.4022689218011995,0.9648133333333294,1.0,1.0,1.0,1.0,1.0,0.33945163100420117,0.18972191306513186,0.993473336181656,0.64,143,0,0,0,143,143,0.9533333333333334,0.9533333333333334,0.9500000000000002,0.013986013986013986,0.993006993006993,0.028169014084507043,17.643046727957326,5.072444099374578
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed5059,boundary_stress,adaptive_hitl,5059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.07333333333333333,0.0,0.02,0.94,0.9219858156028369,0.0,0.94,15.673512204578422,29.12260607906158,0.395035808129857,0.9547599999999975,0.24599999999996464,1.0,1.0,1.0,1.0,0.024525504275729488,0.01833376680624663,0.9953175899618808,0.64,141,0,0,0,141,141,0.94,0.94,0.9500000000000002,0.02127659574468085,0.9929078014184397,0.07857142857142857,15.424590594172168,8.694017815541846
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed6059,boundary_stress,adaptive_hitl,6059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.08,0.0,0.5,0.9666666666666667,0.9172413793103448,0.0,0.9666666666666667,12.754984109110437,36.5171746988076,0.48744082218036056,0.9748666666666653,1.0,1.0,1.0,1.0,1.0,0.3962611356447624,0.2281785036111277,0.7733455272180791,0.64,145,0,0,0,145,145,0.9666666666666667,0.9666666666666667,0.9500000000000002,0.013793103448275862,0.993103448275862,0.08333333333333333,12.572009157116122,3.644447037304095
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed7059,boundary_stress,adaptive_hitl,7059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.08666666666666667,0.0,0.0,0.96,0.9097222222222222,0.0,0.96,15.179677720303031,32.686495722702574,0.463718322571367,0.9698399999999961,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9678526128442271,0.64,144,0,0,0,144,144,0.96,0.96,0.9500000000000002,0.013888888888888888,0.9930555555555556,0.09090909090909091,15.390367144282095,11.053035103528961
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed8059,boundary_stress,adaptive_hitl,8059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.06,0.0,0.38,0.94,0.9361702127659575,0.0,0.94,16.424028791481813,30.03820037545185,0.49216582207009196,0.9547599999999979,0.24599999999996983,1.0,1.0,1.0,1.0,0.31488437824572735,0.16575663281133882,0.9964753345740139,0.64,141,0,0,0,141,141,0.94,0.94,0.9500000000000002,0.014184397163120567,0.9929078014184397,0.06428571428571428,15.851775804571785,6.516271613622772
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed9059,boundary_stress,adaptive_hitl,9059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.06,0.0,0.0,0.9866666666666667,0.9391891891891891,0.0,0.9866666666666667,19.269378700925042,28.337132013435042,0.44993216870352626,0.9899466666666662,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9543323295101189,0.64,148,0,0,0,148,148,0.9866666666666667,0.9866666666666667,0.9500000000000002,0.013513513513513514,0.9932432432432432,0.061224489795918366,19.23488359793016,17.90748749966157
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed10059,boundary_stress,adaptive_hitl,10059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.08,0.0,0.0,0.9466666666666667,0.9154929577464789,0.0,0.9466666666666667,13.273332366416621,29.38972023672812,0.4775813695353766,0.9597866666666638,0.5852999999999755,1.0,1.0,1.0,1.0,0.0,0.0,0.9702162259942704,0.64,142,0,0,0,142,142,0.9466666666666667,0.9466666666666667,0.9500000000000002,0.014084507042253521,0.9929577464788732,0.0851063829787234,13.205573250659317,9.845639138784337
hitl_boundary_stress_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed11059,boundary_stress,adaptive_hitl,11059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.04,0.0,0.6,0.9666666666666667,0.9586206896551724,0.0,0.9666666666666667,16.94429321936942,28.741328545252205,0.5568472070929905,0.9748666666666651,1.0,1.0,1.0,1.0,1.0,0.4795808131196413,0.25602632715911433,0.9999999999996722,0.64,145,0,0,0,145,145,0.9666666666666667,0.9666666666666667,0.9500000000000002,0.013793103448275862,0.993103448275862,0.041666666666666664,16.948175078673962,4.105176721784008
