run_id,scenario,mode,seed,noise_std,risk_threshold,risk_threshold_low,cooldown_steps,reliability,delay_steps,risk_weights,risk_lookahead_steps,safe_speed_ratio,critical_sep_factor,trend_release_delta,violation_rate,collision_rate,near_miss_rate,intervention_rate,override_success_rate,mean_intervention_delay,operator_workload,mean_drift,p95_drift,mean_latency_ms,risk_mean,risk_p05,risk_p25,risk_p50,risk_p75,risk_p95,separation_risk_mean,congestion_risk_mean,speed_risk_mean,uncertainty_risk_mean,human_activation_count,cooldown_skips,suppressed_request_count,suppressed_critical_count,cooldown_release_count,critical_override_count,critical_trigger_rate,trigger_active_rate,confidence_mean,false_intervention_rate,repeated_intervention_rate,post_intervention_violation_rate,mean_drift_after_intervention,min_predicted_distance_mean
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed59,high_density,adaptive_hitl,59,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.14,0.006666666666666667,0.96,0.8466666666666667,0.8346456692913385,0.0,0.8466666666666667,8.186264705835587,24.924294829648357,2.655067783780396,0.9149064183333907,0.40693584454459375,1.0,1.0,1.0,1.0,0.18927007805214546,0.11941140926933455,0.8824568928134731,0.6339063160971233,127,23,23,0,124,124,0.8266666666666667,1.0,0.9500000000000002,0.03937007874015748,0.9212598425196851,0.1510791366906475,9.075263677925756,3.3464229292643197
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed1059,high_density,adaptive_hitl,1059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.04666666666666667,0.0,1.0533333333333332,0.82,0.943089430894309,0.0,0.82,14.361601953691789,42.74936709123201,4.0801630246763425,0.8840333963985478,0.3350743710186183,1.0,1.0,1.0,1.0,0.473107736123022,0.2442359766051923,0.9284313931996182,0.6389938465603371,123,27,27,0,119,119,0.7933333333333333,1.0,0.9500000000000002,0.04878048780487805,0.926829268292683,0.044444444444444446,16.005450058626494,1.3974103590235687
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed2059,high_density,adaptive_hitl,2059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.07333333333333333,0.0,2.466666666666667,0.8933333333333333,0.917910447761194,0.0,0.8933333333333333,6.692026290419452,39.614820220251254,2.4425280396826565,0.9587128502882051,0.6319117863408775,1.0,1.0,1.0,1.0,0.7097620718345645,0.35971617384804316,0.5824388525755059,0.64,134,16,16,0,133,133,0.8866666666666667,1.0,0.9500000000000002,0.014925373134328358,0.9626865671641791,0.07801418439716312,6.969943080047193,0.7360381939261001
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed3059,high_density,adaptive_hitl,3059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.08,0.006666666666666667,1.42,0.7933333333333333,0.907563025210084,0.0,0.7933333333333333,11.585236686503132,32.77646980479123,3.410884451586753,0.8815849899534836,0.38600279527992026,1.0,1.0,1.0,1.0,0.5888989849597501,0.333220443147339,0.8905703799081373,0.64,119,31,31,0,114,114,0.76,1.0,0.9500000000000002,0.058823529411764705,0.9327731092436975,0.0916030534351145,13.185281683402172,0.887954375089782
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed4059,high_density,adaptive_hitl,4059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.08,0.006666666666666667,1.0933333333333333,0.84,0.9047619047619048,0.0,0.84,10.485225857289176,28.106322103731312,2.5288127323923013,0.9007734878317748,0.35883203849200157,1.0,1.0,1.0,1.0,0.5059822233915647,0.21532036582738945,0.9150634380424797,0.6373393212173944,126,24,24,0,122,122,0.8133333333333334,1.0,0.9500000000000002,0.047619047619047616,0.9444444444444444,0.08823529411764706,11.398007480580079,1.2360164349993346
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed5059,high_density,adaptive_hitl,5059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.12666666666666668,0.013333333333333334,1.7533333333333334,0.8266666666666667,0.8629032258064516,0.0,0.8266666666666667,8.55630715771912,30.57145109876856,2.890363597155859,0.9121996045458817,0.48113192681817263,1.0,1.0,1.0,1.0,0.6355641156201632,0.34572504344469196,0.9008993680833324,0.64,124,26,26,0,120,120,0.8,1.0,0.9500000000000002,0.04838709677419355,0.9435483870967742,0.14074074074074075,9.436128634019244,0.9327360855035974
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed6059,high_density,adaptive_hitl,6059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.1,0.0,2.3133333333333335,0.8333333333333334,0.88,0.0,0.8333333333333334,10.71420499960856,41.51082429448335,5.799791686392079,0.9324120552463587,0.6181690944528586,1.0,1.0,1.0,1.0,0.6703249923702043,0.4211572024741566,0.830384230211349,0.6297721503939819,125,25,25,0,121,121,0.8066666666666666,1.0,0.9500000000000002,0.04,0.936,0.10948905109489052,11.98259288297113,0.6533192094687081
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed7059,high_density,adaptive_hitl,7059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.04666666666666667,0.006666666666666667,0.9333333333333333,0.8133333333333334,0.9426229508196722,0.0,0.8133333333333334,6.23161094048737,22.479522499892447,2.0512330260438225,0.9123196921104539,0.5728618272024703,1.0,1.0,1.0,1.0,0.5927522599605304,0.22297185931143565,0.8194410265228312,0.634213053256448,122,28,28,0,117,117,0.78,1.0,0.9500000000000002,0.03278688524590164,0.9180327868852459,0.051470588235294115,7.11187854177491,1.1801229794113746
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed8059,high_density,adaptive_hitl,8059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.06666666666666667,0.006666666666666667,1.64,0.78,0.9145299145299145,0.0,0.78,10.298653513230262,27.111801512166625,5.246770028024912,0.8596107233985703,0.22622588591281362,0.7553962559567191,1.0,1.0,1.0,0.5048706806208375,0.29002627434833256,0.8854095667494291,0.64,117,33,33,0,111,111,0.74,1.0,0.9500000000000002,0.07692307692307693,0.9316239316239316,0.07692307692307693,11.927369015321453,1.2836180917295474
hitl_high_density_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed9059,high_density,adaptive_hitl,9059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.06,0.02,3.433333333333333,0.84,0.9285714285714286,0.0,0.84,7.939098924301721,37.67077712075214,3.4455661002236107,0.9356818307228468,0.6143480525207756,1.0,1.0,1.0,1.0,0.7242268133679718,0.4960618005035542,0.6624332129532816,0.6392360077733,126,24,24,0,124,124,0.8266666666666667,1.0,0.9500000000000002,0.023809523809523808,0.9444444444444444,0.051470588235294115,8.874199323814892,0.3870693203069192
